,price
17856,1063000
13625,1748340
17180,1675365
7648,4778390
23641,1960000
22160,2070000
17142,1162841
20216,808000
2301,2730000
22570,1029865
2998,1080000
14273,1650000
9853,2020000
379,1320000
16780,1198499
3950,21368000
5128,3850000
7217,1259000
10331,1201500
11925,1282000
17780,1031210
4509,855000
927,1051000
17207,1154513
18766,1721000
6148,1254000
22226,6732000
6036,1537000
399,2868000
11082,1213000
6534,857000
23232,1880000
2503,3003000
6674,1632000
11448,1788000
15068,1136000
18046,1187856
4660,5525000
12920,2648000
5227,1632000
23278,1700000
7003,1689000
23538,1750000
20415,2200000
12938,1429000
11193,2715000
18033,1180257
18526,1068000
3697,1380000
8451,1682000
1011,1301000
16392,1500000
11509,3234000
13578,1799820
22869,790000
2616,3050000
467,1845000
20469,1212000
6409,1147000
13812,1605780
13102,1500000
16338,1580000
19237,5880000
13594,1629540
20271,776800
431,990000
11482,7000000
13697,2894760
21084,3210000
9299,1301000
407,2810000
14834,2530000
9042,1713000
11756,1316000
5325,805000
11076,2724000
22862,800000
9048,1197000
651,1861000
21062,1526000
13083,1465000
177,1697600
3,5200000
20594,1303000
20943,1152000
14167,1700000
13706,1745370
15601,1499000
2392,2000000
23203,1530000
7337,1418000
7177,1299000
5811,1377100
20051,1457600
11731,859000
16178,8700000
21063,1990000
22956,1000000
7495,3816720
20997,1618000
17896,971000
42,4068160
18497,903999
3570,2771913
23504,22000000
10312,1191000
4049,3500000
5662,1127400
795,1369000
396,5900000
19913,728000
21750,2475000
22294,3770000
420,1298000
20571,1318000
316,10250000
21765,2500000
18034,1360125
5165,1168000
11955,1000000
10205,1747500
11487,6250000
8698,1236000
21832,3199350
9720,1130000
13996,1619000
6453,1183000
17068,1195057
17238,1273000
16884,1037068
7241,1966000
9844,1256000
5478,950000
15387,1961000
8113,2280000
87,1979900
16613,1458402
9538,1257000
16502,1490000
9529,767000
21067,1176000
11522,1291000
9364,1183000
17161,919081
21876,1900000
20249,1253880
17828,2412000
20813,2569000
18896,1726000
5365,700000
16342,2080000
2483,1530000
5792,1822400
7318,2648000
647,961000
8508,1127000
22391,1842000
9295,1169000
6316,1641000
20769,1735000
17954,1651000
21711,1759000
17426,1171431
22373,1050000
10610,1283000
20464,1298000
5916,1724200
7603,3804709
6595,1313000
15981,1754000
22978,1060000
4074,915000
2702,1455000
6134,1770000
21943,1690000
5927,1028900
6281,971000
17619,985000
7584,2235000
13566,2033460
22235,4060071
2381,9400000
15903,1870000
12709,1178000
15326,1148000
19088,1680000
